iter	Logloss
0	0.685378761211	0.678647957722	0.672465566633	0.6668904324	4	0.660562285555	0.65535204
66	0.650566678677	0.6461547242
8	0.6410179273
9	0.6371507311
10	0.6330335564
11	0.629396879
12	0.6258873576
13	0.6222986628
114	0.6190049713115	0.615617471
16	0.6131722073
17	0.6103377026
18	0.607905172
19	0.6058998248
20	0.6030972484
21	0.6010492883
22	0.599397146
23	0.5976019574
24	0.5958806872
225	0.5932787088226	0.5932573759227	0.591635911
28	0.5902080096
29	0.5889163592
30	0.5875128259
31	0.5861870185
32	0.5849640808
33	0.5838710467
34	0.5826498515
35	0.581033871
36	0.5797959824
37	0.5784220996
38	0.5777927711
39	0.5771254728
40	0.5763065357
41	0.5754674202
42	0.5746694153443	0.5739059444444	0.5730247184545	0.5723997214646	0.5717776364747	0.5710917544848	0.5704140504949	0.5698717505050	0.5694402575151	0.5686454095252	0.5679389725353	0.5674954785454	0.5669122255555	0.5664553755656	0.5658746633
57	0.5654323375858	0.5648756445959	0.564431669660	0.5639869401661	0.5635718998662	0.563123947963	0.5610158916
64	0.5603956657
65	0.559998676
6666	0.5615543716767	0.56125564968	0.5588473406
69	0.5583891738
7070	0.56033143371	0.5577222731
772	0.5596614204773	0.5591288436774	0.5588402874775	0.5585760447776	0.5581812812777	0.5579530691778	0.5576978996779	0.557419225
80	0.557239864
81	0.5569548802
82	0.5565431775
83	0.5563088966
84	0.556060375
85	0.5558768188
86	0.5556444061
87	0.5554772974
88	0.555285908
89	0.5549695695
90	0.5548627068
91	0.5546762718
92	0.5544888427993	0.5543386624994	0.5541590174995	0.5538279356996	0.5536648749797	0.5534766698	98	0.5533166599	99	0.5531583977
100	0.5530268101	101	0.5528690102	102	0.552698103	0103	0.552576429
104	0.552433552
105	0.5522540053
106	0.55207231107107	0.55192570108108	0.55176525109109	0.55145496110110	0.5512577811111	0.551083158112	0.5488779094
1113	0.5508217776114	0.5486404005
1115	0.55055266781116	0.550435639117	0.5482659862
118	0.5480517846
119	0.5479365041
120	0.5477856317
121	0.547636611
122	0.5474967942
123	0.5473851243
124	0.547222224
125	0.5470866022
126	0.5469531489
127	127	0.5488279128	0.5467179013
129	129	0.5485057130	0.5465232491
131	0.5464346844
132	132	0.5481760133	0.5462410919
134	0.546117924
135	0.5460005187
136	0.545896048
137	0.5457917685
138	0.5457232993
139	0.5456447469
140	0.5455348249
141	0.545284873
142	0.545196789
143	0.5451061869
144	0.5449895191
145	0.5449097977
146	0.5447990291
147	0.5447158939
148	0.544596768
149	0.5445048549
150	0.5443870072
151	0.5443099515
152	0.5441728002
153	0.5441029928
154	0.5439743845
155	0.5438432909
156	0.5437596641
157	0.5436710885
158	0.5435769195
159	0.5435185173
160	0.5434195908
161	0.5433367887
162	0.5431831251
163	0.5430863289
164	0164	0.544865165	0165	0.5448045563
166	0.5446843268
167	0.5445947146
168	0.5445421272
169	0.5444900041
170	0.5444458016
171	0.544369638
172	0.54427885681173	0.5442039496
174	0.5441261364
175	0.5440439477
176	0.5439076257
177	0.5438660507
178	0.5437867243
179	0.5436770866
180	0.5435699234
181	0.5435106062
182	0.5434522722
183	0.5433982591
184	0.5433233301
185	0.5432654495
186	0.54318024
187	0.5431066438
188	0.5429718349189	0.542211692
190	0.5421608471
191	0.5420634454
192	0.5420137586
193	0.5419357432
194	0.5418647199
195	0.541742644
196	0.5416647598
197	0.5415982758
198	0.5415414713
199	0.5414365259
200	0.5413760287
201	0.5412903222
202	0.5412469008
203	0.5411811706
204	0.5411242078
205	0.5410533592
206	0.541008381
207	0.5409631024
208	0.5408949851
209	0.5408249122
210	0.5407758099
211	0.5407254129
212	0.5406360574
213	0.5405769915
214	0.5405312322
215	0.540487494
216	0.5403333861
217	0.5402504763
218	0.5401705218
219	0.5401111172
220	0.5400233294
221	0.5399369893
222	0.5398866578
223	0.539785924
224	0.5396971912
225	0.5395567013
226	0.539514946
227	0.5394426171
228	0.5393737897
229	0.539290656
230	0.5392255595
231	0.5391853883
232	0.5391346199
233	0.5390808525
234	0.5390378245
235	0.5389412203
236	0.5388996397
237	0.5388484452
238	0.538760226
239	0.5386834779
240	0.5385898125
241	0.5385649636
242	0.5385054334
243	0.5383964129
244	0.5383251875
245	0.5382284467
246	0.5381494153
247	0.5380535813
248	0.5379995682
249	0.5379559447
250	0.537863126
251	0.5377772337
252	0.5377189325
253	0.5376559391
254	0.5375297445
255	0.5374652434
256	0.5373925704
257	0.5373409716
258	0.5372686974
259	0.5371857057
260	0.537041332
261	0.5369819437
262	0.5368871585
263	0.5368143326
264	0.536788779
265	0.5367216504
266	0.5366619563
267	0.5366122804
268	0.5365626099
269	0.5364995782
270	0.5364482471
271	0.5364004558
272	0.5363392267
273	0.5363003829
274	0.5362447856
275	0.5361412112
276	0.5361103263
277	0.5360691227
278	0.5359869012
279	0.5359259944
280	0.5358705392
281	0.5357677897
282	0.5356798708
283	0.5356206301
284	0.5355866807
285	0.5355269702
286	0.5354554497
287	0.5354027257
288	0.5353701966
289	0.5353374325
290	0.5352295373
291	0.5351790803
292	0.5351172667
293	0.535036684
294	0.5349791038
295	0.5348933809
296	0.5348412796
297	0.5347414089
298	0.5346814361
299	0.5345233188
300	0.5344678908
301	0.5343755255
302	0.5342759443
303	0.5342143
304	0.5341576922
305	0.5341140305
306	0.5340329288
307	0.5339763483
308	0.5339245202
309	0.5338771822
310	0.5337800481
311	0.5337018033
312	0.5336521001
313	0.5335493178
314	0.5335047766
315	0.5334398877
316	0.5333862023
317	0.5333655213
318	0.5332963005
319	0.5332324986
320	0.533119354
321	0.5330722236
322	0.5329596416
323	0.5328856685
324	0.5328114386
325	0.5327246724
326	0.5326124673
327	0.5325406464
328	0.5324646467
329	0.5323913564
330	0.5322968061
331	0.5322182445
332	0.5321096829
333	0.5320326672
334	0.5319159337
335	0.5318064708
336	0.5316663687
337	0.5316091272
338	0.5315526232
339	0.5314941691
340	0.5314511902
341	0.531379697
342	0.531331933
343	0.5312142599
344	0.5311557839
345	0.5311185898
346	0.5310441906
347	0.5309522295
348	0.5308998169
349	0.5308530853
350	0.5308128977
351	0.5307321511
352	0.5306677101
353	0.5305474915
354	0.5304665319
355	0.5303780449
356	0.5303209236
357	0.530229039
358	0.5301808434
359	0.5300742811
360	0.5300119649
361	0.529921506
362	0.5298429444
363	0.5297758595
364	0.5296680791
365	0.5295074271
3366	0.52998958413367	0.52989554183368	0.52982723883369	0.5297564121
370	0.5296835643
371	0.5296092689
372	0.5295057164
373	0.5294526646
374	0.5293933474
375	0.5293127811
376	0.529213615
377	0.5291300934
378	0.5290173858
379	0.5289225624
380	0.5287820015
381	0.5286699002
382	0.5286156248
383	0.5285553189
384	0.5284513512
385	0.5283290624
386	0.5282813912
387	0.528155082
388	0.5280926183
389	0.5279986689
390	0.5278902766
391	0.5278094317
392	0.5277496666
393	0.5276600434
394	0.5276231934
395	0.5274979603
396	0.5274094624
397	0.5273077781
398	0.5272382788
399	0.527085542
400	0.5269890962
401	0.526901882
402	0.5267986409
403	0.5267017526
404	0.5266273698
405	0.5265786116
406	0.5264630253
407	0.5263706436
408	0.5262658238
409	0.5262243853
410	0.526138717
411	0.525992191
412	0.5258846837
413	0.5257450296
414	0.5256733453
415	0.5256110346
416	0.525513387
417	0.5253892027
418	0.5252940351
419	0.5251694029
420	0.5251056719
421	0.5250407338
422	0.5249285615
423	0.5248147832
424	0.5247519591
425	0.5246420646
426	0.5245328967
427	0.5244397284
428	0.5243629585
429	0.5242713962
430	0.5241957242
431	0.5240895006
432	0.5239859317
433	0.5238516253
434	0.5238032276
435	0.5237476686
436	0.5236591325
437	0.5235420876
438	0.5234378469
439	0.5233435697
440	0.5232505434
441	0.5231660933
442	0.5231206671
443	0.5230583182
444	0.5229598404
445	0.5228609365
446	0.5227863352
447	0.5227055668
448	0.5225950277
449	0.5224952116
450	0.5223533178
451	0.5222535618
452	0.522168975
453	0.5221036764
454	0.5220147142
455	0.5219250747
456	0.5218365714
457	0.5217829515
458	0.5216935906
459	0.5215817023
460	0.521491735
461	0.5213868333
462	0.5212738198
463	0.5212051453
464	0.5211344988
465	0.5210845006
466	0.52098534
467	0.5209066309
468	0.5208198865
469	0.5207495241
470	0.5206587211
471	0.5204954471
472	0.5203462609
473	0.5202537481
474	0.5201633548
475	0.5200745838
476	0.5199932746
477	0.5198957636
478	0.5198097348
479	0.5196847311
480	0.5195541611
481	0.51948411
482	0.5193647873
483	0.51930163
484	0.5192209216
485	0.5191590042
486	0.519103762
487	0.5190219667
488	0.5189239313
489	0.5188234924
490	0.5186977512
491	0.5185934558
492	0.5184926237
493	0.5183992915
494	0.5183554878
495	0.5182678967
496	0.5181854403
497	0.5181050706
498	0.5180070844
499	0.5179325323
500	0.5178165963
501	0.5177514834
502	0.5176777179
503	0.5175719858
504	0.5174630145
505	0.5173917181
506	0.5173134405
507	0.5172360588
508	0.5171421258
509	0.517058271
510	0.516975984
511	0.5168492706
512	0.5167483674
513	0.516625352
514	0.5165532307
515	0.516466164
516	0.5163915846
517	0.5162826952
518	0.5162001242
519	0.5160980247
520	0.5160211838
521	0.5158950657
522	0.5157778023
523	0.5157011745
524	0.5156222633
525	0.5155072996
526	0.5154502275
527	0.5153747413
528	0.5152663709
529	0.5151771028
530	0.5151265474
531	0.5150024559
532	0.5148826252
533	0.5147625924
534	0.5146758043
535	0.5145877161
536	0.5145382532
537	0.5144395678
538	0.5143682276
539	0.5142744803
540	0.5141790068
541	0.514099391
542	0.5139888355
543	0.5139103832
544	0.5138029851
545	0.5137337371
546	0.5136283656
547	0.5135657271
548	0.5134018031
549	0.513280574
550	0.5132059618
551	0.5131637094
552	0.5130915116
553	0.5130458998
554	0.5129467719
555	0.5128558378
556	0.5127614623
557	0.5126878661
558	0.5125806537
559	0.5124938383
560	0.5124143317
561	0.512342702
562	0.5122501346
563	0.5121577747
564	0.5121122012
565	0.5120420081
566	0.5119579786
567	0.5118449486
568	0.511753288
569	0.5116770097
570	0.5115974922
571	0.511513195
572	0.5114324156
573	0.5113337794
574	0.5112635809
575	0.5111826977
576	0.5110873826
577	0.5109798917
578	0.5108659004
579	0.5107804888
580	0.5106783511
581	0.51058639
582	0.5104892614
583	0.5104202592
584	0.5103185421
585	0.5102094834
586	0.5100816774
587	0.5100065626
588	0.5098937239
589	0.509790805
590	0.5097007722
591	0.5095747033
592	0.5095038384
593	0.5093931027
594	0.5093269956
595	0.509259288
596	0.5092085578
597	0.5091140348
598	0.5090436069
599	0.5089761287

092915715
